"","sens_28_spec_89","sens_57_spec_80","sens_64_spec_76","sens_70_spec_70","sens_75_spec_66","sens_88_spec_63","sens_90_spec_58","sens_95_spec_19","sens_100_spec_3"
"1",35588.1389267984,35750.905529041,35798.754608841,35840.1210122357,35876.1197794182,35990.7909950618,36013.6447373811,36116.3915821893,36167.8031300915
"2",27124.542005256,27258.1718099639,27297.3559817012,27333.1497413282,27351.9490682291,27419.28442085,27438.3791835526,27554.4943399995,27609.4855308674
"3",40120.6851330038,40281.1148095702,40297.1169961451,40324.1621786338,40379.3891595497,40450.6421918719,40476.8093933204,40560.8372532138,40646.970129533
"4",44691.4783829285,44874.7590407372,44909.1030678209,44932.8421439161,44962.9647826109,45040.1728024974,45058.5119991567,45161.5362359803,45221.6556491043
"5",24542.8683419497,24709.2802903218,24729.5161142506,24764.1424458198,24792.2362691967,24835.3250575069,24847.7321763089,24954.9492495897,24995.7345059959
"6",34370.7037230225,34508.764068517,34554.3122203142,34589.9021240585,34612.3926714953,34665.6781885943,34681.0595334733,34794.4914030306,34834.372833657
"7",35339.9926980209,35583.8656324997,35641.416182658,35695.8524927431,35762.7581255769,35831.8301814013,35845.8104560034,35963.3045588351,36050.0965873122
"8",51699.0471395925,51866.6692195526,51910.4409023558,51938.8530985858,51956.3009742709,52030.9154448934,52056.6432084583,52159.2295949093,52201.4361501445
"9",37067.0303799751,37185.7101992336,37283.1650221205,37331.360708148,37364.7201102037,37510.0914119054,37523.3368094429,37642.9279522412,37686.8494526091
"10",30041.1421081436,30156.8318152881,30196.0525258769,30219.0237526374,30243.5352566291,30308.4358809302,30326.6821957189,30408.5315062823,30450.7637569865
"11",33948.9572321232,34075.6513713395,34098.9174510813,34142.9246286204,34166.9090863345,34243.1278724694,34255.8809436148,34341.3923776353,34377.814220787
"12",28903.5689584868,29176.748039771,29284.6365473055,29304.4561875901,29320.8677172948,29436.5913507198,29458.736167875,29577.984879981,29667.9922583521
"13",39396.0251420866,39543.3798699213,39590.7753976079,39616.8017127023,39632.452347084,39754.6928227356,39785.5818360439,39867.4161959585,39912.0157954645
