"","Sens_DR","Spec_DR","Number_recieving_MTC_care","proportion_died_before_discharge","proportion_died_between_discharge_and_1_year","Years_lived","undiscounted_QALYs","discounted_QALYs","undiscounted_Costs","discounted_Costs","proportion_ISS_over_16","proportion_ISS_over_8_under_16"
"1",1,NA,1,0.1763,0.0221,18.8453513991448,13.4379651043898,8.02144730834611,194726.156353967,115274.601516942,1,0
"2",1,NA,1,0.1594,0.0231,17.7142232911115,13.9462446322691,8.50307560282196,172314.506860683,105797.955587853,1,0
"3",1,NA,1,0.1598,0.0264,17.2870818978038,12.5129797399827,7.71335341047334,185359.298633638,114447.85611545,1,0
"4",1,NA,1,0.1253,0.0273,19.4351823644297,14.2413389730635,8.54417627124852,293019.866833981,170984.915128195,1,0
"5",1,NA,1,0.1374,0.0254,19.4145054411881,14.6200789261564,8.75339527999968,264855.499725293,154798.176430442,1,0
"6",1,NA,1,0.1707,0.0268,18.4539883582043,14.5421430357629,8.75108683909712,184209.171871406,110561.062907046,1,0
"7",1,NA,1,0.1285,0.0293,19.3111794423902,14.384857343756,8.64093498519773,192003.337194329,114914.671521566,1,0
"8",1,NA,1,0.2148,0.019,17.733043164457,12.1322893129889,7.28928240475159,184609.059369796,110645.110823095,1,0
"9",1,NA,1,0.0973,0.0229,21.2072974041388,15.0140584320775,8.87525812971132,252110.970936874,145581.907910066,1,0
"10",1,NA,1,0.2425,0.0258,17.2955357274768,11.572496356319,6.94096308980773,163962.594360406,98839.637707992,1,0
"11",1,NA,1,0.1007,0.0313,19.7347345200847,14.7796754754629,8.87014961866258,226989.701169866,134352.165527702,1,0
"12",1,NA,1,0.1902,0.0226,17.5548196299382,11.0052989163609,6.67627193171616,194378.593558056,117412.253555594,1,0
"13",1,NA,1,0.1308,0.0274,20.6533097174957,14.7784176823289,8.71279210365393,217210.059175146,125963.140969389,1,0
"14",1,NA,1,0.2757,0.0245,15.311270134781,10.8537271557913,6.69305289306832,137994.335426324,86652.8352418222,1,0
"15",1,NA,1,0.1078,0.0281,19.0984412166462,12.9315528292326,7.83308137442686,201186.318115885,121369.996045967,1,0
"16",1,NA,1,0.1086,0.0278,19.6535019200291,14.5613504456829,8.75845385212751,193142.544491161,115832.261428747,1,0
"17",1,NA,1,0.1628,0.0245,19.4579260383066,12.7942258295158,7.58547914244517,188399.347319254,111278.669105062,1,0
"18",1,NA,1,0.1377,0.0295,18.3889643558102,13.5306380700488,8.19836795510633,182569.942186983,110852.184132449,1,0
"19",1,NA,1,0.1355,0.0256,19.1626047703729,14.6979735889833,8.82923432517251,197528.380404657,118219.601616418,1,0
"20",1,NA,1,0.2031,0.0292,18.0709013105578,12.1027207937754,7.25760470675922,171815.383404802,103232.105953166,1,0
"21",1,NA,1,0.1871,0.0246,17.3455608487869,12.6283255954341,7.65825738495143,206076.265407753,123897.513490927,1,0
"22",1,NA,1,0.2385,0.0194,16.6401328741467,12.8300198087729,7.78234063275875,212708.939633838,127767.640543919,1,0
"23",1,NA,1,0.2002,0.0215,17.438724825375,12.37513381477,7.47695339268703,191798.209688974,115295.699653068,1,0
"24",1,NA,1,0.1679,0.0234,17.9964943695961,12.1548923641219,7.37635084097981,255799.93936852,152290.591209169,1,0
"25",1,NA,1,0.1318,0.0226,19.6813953801777,15.7705835321701,9.43511663638005,235004.813522523,138436.259048898,1,0
"26",1,NA,1,0.0925,0.031,20.2748642924596,14.5791040864683,8.71903338099879,256530.008702482,150167.388001769,1,0
"27",1,NA,1,0.1311,0.03,18.7174499167881,14.7739158042974,8.95450270887402,141709.732784436,87484.9777138791,1,0
"28",1,NA,1,0.1196,0.0251,19.569197193473,13.5819774897278,8.14961242620873,199702.609420395,119060.252759788,1,0
"29",1,NA,1,0.196,0.0245,18.5870567281483,10.9660666678463,6.52395548623043,172976.536808428,102909.429320152,1,0
"30",1,NA,1,0.1491,0.0227,18.4813980078943,13.3949583909264,8.09577882101666,188413.537436606,113758.489887813,1,0
"31",1,NA,1,0.1076,0.0249,19.1920464209161,14.7645254209045,8.94321192373547,238320.93917981,142310.817269321,1,0
"32",1,NA,1,0.2076,0.0243,18.9900018406096,11.4760739507026,6.77383801156801,180046.528556901,105825.394316843,1,0
"33",1,NA,1,0.1628,0.0222,20.7059046753472,15.333677384944,8.96174550512682,187769.732304941,108991.677372506,1,0
"34",1,NA,1,0.1194,0.0275,19.7379718052599,15.2474848151131,9.13650771770905,272443.75207394,159627.596102422,1,0
"35",1,NA,1,0.1515,0.0242,20.9601374790735,15.778246302314,9.2060079188695,181345.033142372,105153.200933562,1,0
"36",1,NA,1,0.1253,0.0266,20.5681420093686,14.786739685439,8.74423938464391,236944.408116005,137529.733751659,1,0
"37",1,NA,1,0.1302,0.0211,21.3164863189625,16.5498298486136,9.68334033147298,237811.494629692,136043.607200374,1,0
"38",1,NA,1,0.1231,0.0262,19.3268448332567,13.7786893440938,8.29793605530076,237995.414522993,141136.180941642,1,0
"39",1,NA,1,0.1161,0.0218,18.1550648812704,11.3529861539467,6.97459723569478,174197.200805081,107820.21306252,1,0
"40",1,NA,1,0.1672,0.0218,19.5756595383656,14.4287975676116,8.54193415926078,324223.67585454,185494.759165652,1,0
"41",1,NA,1,0.1311,0.0255,19.8366802904619,13.2160415238329,7.89681404982188,155323.382168642,93992.9428932192,1,0
"42",1,NA,1,0.1832,0.0209,18.7874685795523,13.3595206440487,7.98069614675782,160101.791757972,96089.1083030469,1,0
"43",1,NA,1,0.1066,0.0278,20.3059811667421,14.0718968190333,8.37555783319021,262420.944453513,152693.903011646,1,0
"44",1,NA,1,0.155,0.0224,19.3341906914461,14.0375987592466,8.38391242381704,164908.480849697,98932.8500871066,1,0
"45",1,NA,1,0.0994,0.0288,19.8340512955412,14.0228249681287,8.42098998549985,197093.386023928,117968.488127965,1,0
"46",1,NA,1,0.1234,0.0271,17.8092778889246,13.9474436821517,8.55668228916975,187223.945185411,114977.601054623,1,0
"47",1,NA,1,0.1535,0.0268,19.3138899264762,14.7013445569633,8.76730565786453,228212.867036023,133822.782315131,1,0
"48",1,NA,1,0.11,0.0285,19.9427864113454,16.4855902906205,9.85455457664161,217958.5020721,128996.860437608,1,0
"49",1,NA,1,0.1577,0.0273,17.4575773516808,12.6921842473079,7.76436011155493,146899.67689785,91444.8378814448,1,0
"50",1,NA,1,0.0893,0.0283,20.3428943680483,14.9667228886089,8.9297618737588,193501.489055479,114850.105606266,1,0
"51",1,NA,1,0.1447,0.026,19.8631495950014,13.3957271243426,7.93619257379316,185726.796833016,109581.609774712,1,0
"52",1,NA,1,0.0911,0.0276,18.044597252496,12.9997589673488,8.02083942723695,198423.007466139,122401.764656693,1,0
"53",1,NA,1,0.1441,0.0313,19.8878213393144,15.6932978679253,9.30048947994342,231789.986117814,134814.616961285,1,0
"54",1,NA,1,0.188,0.0241,18.2749312598873,12.2515248892259,7.35606791831648,150482.537784971,91438.8071784162,1,0
"55",1,NA,1,0.0946,0.0266,18.8577904401259,14.0081139491849,8.55447682706662,274556.056975105,164328.426048521,1,0
"56",1,NA,1,0.0928,0.028,17.5236211943988,12.5601161901516,7.79441053243507,173942.880341743,108526.184160415,1,0
"57",1,NA,1,0.1681,0.0257,18.6680416183375,12.9702095176767,7.77592852175849,186584.378819422,111384.809676749,1,0
"58",1,NA,1,0.133,0.0231,18.7173234785403,12.6378736821049,7.64285867039145,165780.280412551,101118.582050865,1,0
"59",1,NA,1,0.1408,0.0247,17.9198657205834,14.6713436089858,8.98269763941996,164162.360783997,101472.073747756,1,0
"60",1,NA,1,0.1523,0.0247,18.5059489033674,14.0108161158956,8.48018441246341,200783.322086264,120719.926276187,1,0
"61",1,NA,1,0.1576,0.028,18.5222138871213,13.7309370097634,8.29992388510456,221105.474280217,132051.128601532,1,0
"62",1,NA,1,0.2323,0.0222,17.2693623188698,12.6469772885942,7.59204582156045,230602.206777211,136164.847286521,1,0
"63",1,NA,1,0.1584,0.0259,17.4649806315909,12.1048923718862,7.42372072741162,167435.643806373,103555.128259982,1,0
"64",1,NA,1,0.2066,0.0232,18.7476964190958,12.6413407872949,7.48716378750519,273897.355661847,157484.041385698,1,0
"65",1,NA,1,0.1299,0.0212,21.2983247360032,16.7896214979785,9.80237923632025,264128.011179377,150111.474798553,1,0
"66",1,NA,1,0.1294,0.0219,18.9021110960757,11.9878656062702,7.26492860794065,270561.389374514,160432.62720479,1,0
"67",1,NA,1,0.171,0.0242,17.9783892588178,13.2915445799576,8.08424950133785,195496.632574053,118346.487840699,1,0
"68",1,NA,1,0.1533,0.0249,19.8762298987427,14.8526541726632,8.77897603817548,221828.508696067,128872.801761799,1,0
"69",1,NA,1,0.1335,0.0238,19.1288495755863,11.5295609821936,6.94044299079347,224965.622191413,133547.906395332,1,0
"70",1,NA,1,0.1041,0.0301,18.4584588186279,13.6327661424075,8.32131444983286,209172.544853885,126846.786823016,1,0
"71",1,NA,1,0.0921,0.0262,20.4047822777835,15.9589317781573,9.51650200038276,244027.489550025,143077.669447744,1,0
"72",1,NA,1,0.1754,0.0223,17.7579774080152,13.7732911031119,8.38266180517948,218580.679706805,131522.095848044,1,0
"73",1,NA,1,0.1518,0.0225,19.3640718649345,12.8198600382245,7.66804061310507,218070.791918712,128686.675670813,1,0
"74",1,NA,1,0.134,0.0256,18.9510960253828,12.9634334402127,7.80848035350171,186853.336088885,112360.618144929,1,0
"75",1,NA,1,0.1946,0.0253,17.9464419570781,13.28596253003,7.98878650168772,166273.48855325,100394.446302235,1,0
"76",1,NA,1,0.1549,0.0275,18.3483539441399,14.8404141710687,8.95178564707027,184282.043909456,111019.128559343,1,0
"77",1,NA,1,0.2433,0.0228,18.1458813626764,12.5502241311648,7.4224998768951,219268.918576631,127296.392332396,1,0
"78",1,NA,1,0.1011,0.0229,18.3032490324746,13.7600546031369,8.45711245892182,197725.511977544,121416.89882773,1,0
"79",1,NA,1,0.0877,0.0259,20.3996492416798,13.889759362843,8.30811641136568,252203.493920164,148111.270611724,1,0
"80",1,NA,1,0.2257,0.0227,17.593956893227,13.0343799353806,7.80027911308057,175700.697562503,104999.718775514,1,0
"81",1,NA,1,0.2235,0.0204,17.8863734776148,14.1777916178665,8.48148106016818,199350.309717426,118129.590803652,1,0
"82",1,NA,1,0.1296,0.0251,20.1335605798177,14.0795384025625,8.34545866913776,263580.943710086,152376.329296897,1,0
