"","X","P_MTC_Tri_pos_ISS_o15","P_MTC_Tri_neg_ISS_o15","P_MTC_Tri_pos_ISS_u16","P_MTC_Tri_neg_ISS_u16","Transfer_nMTC_to_MTC_ISSo15_TP","Transfer_nMTC_to_MTC_ISSo15_TN","Transfer_nMTC_to_MTC_ISSu16_TP","Transfer_nMTC_to_MTC_ISSu16_TN","p_death_hosp_ISSo15_MTC","RR_p_death_hosp_ISSo15_nMTC","p_death_hosp_ISSu16","p_death_y1_ISSo15_MTC","RR_p_death_y1_nMTC","p_death_y1_ISSu16","HR_p_death_lm_ISSo15","HR_p_death_lm_ISSu15","U_ISS_o15_MTC","U_ISS_o15_nMTC","U_ISS_u16_o8","Umult_ISS_u9","U_genpop_cons","U_genpop_male","U_genpop_age","U_genpop_age_squared","p_death_hosp_TARN_sqrt_ISS","p_death_hosp_TARN_ln_ISS","p_death_hosp_TARN_GCS_3","p_death_hosp_TARN_GCS_4_5","p_death_hosp_TARN_GCS_6_8","p_death_hosp_TARN_GCS_9_12","p_death_hosp_TARN_GCS_13_14","p_death_hosp_TARN_GCS_intubated","p_death_hosp_TARN_CCI_unknown","p_death_hosp_TARN_CCI_1_5","p_death_hosp_TARN_CCI_6_10","p_death_hosp_TARN_CCI_o_10","p_death_hosp_TARN_age_0_5","p_death_hosp_TARN_age_6_10","p_death_hosp_TARN_age_11_15","p_death_hosp_TARN_age_45_54","p_death_hosp_TARN_age_55_64","p_death_hosp_TARN_age_65_74","p_death_hosp_TARN_gen_f","p_death_hosp_TARN_age_o_75","p_death_hosp_TARN_age_0_5_gen_f","p_death_hosp_TARN_age_6_10_gen_f","p_death_hosp_TARN_age_11_15_gen_f","p_death_hosp_TARN_age_45_54_gen_f","p_death_hosp_TARN_age_55_64_gen_f","p_death_hosp_TARN_age_65_74_gen_f","p_death_hosp_TARN_age_75_plus_gen_f","p_death_hosp_TARN_cons","p_MTC_ISS_o15_UK","C_MTC_ISS_o8_u16","C_MTC_ISS_o15","C_bluntt_ISS_U10","C_bluntt_ISS_U17_O_9","C_bluntt_ISS_U26_O16","C_bluntt_ISS_O25","C_pent_ISS_O0_U10","C_pent_ISS_O9_U16","C_pent_ISS_O15_U25","C_pent_ISS_O24_U34","C_pent_ISS_O34","C_disch_6m","C_additional_ambulance","Increase_lifetime_cost_ISS_o15","Increase_lifetime_cost_ISS_u15","TARN_old_Age_0_5","TARN_old_Age_6_10","TARN_old_Age_11_15","TARN_old_Age_45_54","TARN_old_Age_55_64","TARN_old_Age_65_75","TARN_old_Age_over_75","TARN_old_GCS_9_12","TARN_old_GCS_6_8","TARN_old_GCS_4_5","TARN_old_GCS_3","TARN_old_GCS_intubated","TARN_old_ISS_SQRT","TARN_old_ISS_LN","TARN_old_female","TARN_old_female_age_0_5","TARN_old_female_age_6_10","TARN_old_female_age_11_15","TARN_old_female_age_45_54","TARN_old_female_age_55_64","TARN_old_female_age_65_75","TARN_old_female_age_75_plus","TARN_old_constant"
"1",1,0.904228068737943,0.467326507790866,0.985019857338028,0.347831584921948,0.277718758786361,0.29533282234613,0.0792217296516292,0.0464680924636283,0.0988106949968953,1.48851886615482,0.0115721230498184,0.03091535890059,1.12972805246821,0.0169092988304134,5.09678916262668,1.46308959133173,0.771883543955676,0.771883543955676,0.771883543955676,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-2.74243830431975,-2.4594117787581,-3.84721595791075,-2.73324566986117,-1.83620211449225,-1.34704155228281,-0.502319332155727,-2.60884701024261,-0.449180440359145,-0.499220088412491,-0.952495406617088,-1.69506506224907,-0.0865420560400126,0.209976261543197,-0.175809318882921,-0.266739902640118,-1.04457078911547,-1.53428927511544,-0.248814936542071,-2.59982624170577,-0.345891629915933,0.880020837289725,-0.221252706365034,-0.19173865747571,0.245742437652664,0.110475463913602,0.582464539829456,5.28621,0.772167166782383,1466,2819,6233.61912407539,8928.37850102547,14063.3684813562,21179.0540411294,5574.78821590595,5727.18812601204,13303.0526499782,10985.6610908629,19392.0941353433,1771.49449027734,242.782910479814,6.19561470124194,1.34314388282091,-0.0212885342817201,0.711979528689723,0.448346354188842,-0.311199136698521,-1.08027718410151,-2.15285916424073,-2.97933227634838,-1.07385756426574,-1.49563675912981,-2.56326216713379,-3.35748357062323,0,-5.42682870468517,-4.5646143057262,0.508043462357618,0.178197255190383,-0.186044096678203,-0.512247180987181,0.127888499749369,0.324698764856598,0.581176625647867,0.659951287962322,5.294
"2",2,0.893720852003124,0.496347909454444,0.983878268984352,0.346459240599902,0.247580794723378,0.305534833970299,0.0675856158615628,0.045959943273498,0.100350932873544,1.31920051129849,0.0113699703244686,0.0320800810502867,1.98019809662728,0.0169894544956002,4.47466074147758,1.4210559105055,0.739820435874141,0.739820435874141,0.739820435874141,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-2.77273071128943,-2.64075887316862,-3.85784752295438,-2.71445794399524,-1.8681592012674,-1.28414685633049,-0.411176152347863,-2.67676381836293,-0.419996112508072,-0.504026025001323,-0.89387729465716,-1.4872058018002,-0.29939334113737,-0.145034497793104,-0.215613840212831,-0.414321945707831,-1.0404742197534,-1.60371949033853,-0.141430572988817,-2.68595564933941,0.19293358006419,0.566790544183859,0.404882189918238,-0.331366786409438,0.0828868771544823,0.509329659752305,0.379105543638917,5.28621,0.769806477798836,1466,2819,6228.62386120127,8974.60629223754,14367.1255935869,21705.3664398133,6702.40075759342,6584.40696699865,10374.1584306523,14400.8354347703,11812.7358017879,1811.61299919607,267.809337393124,3.70477808335493,1.26840591343727,0.100488831286706,0.916518225620922,0.605793973549035,-0.123318658490976,-0.92794128327704,-1.80674031847743,-2.90334912062136,-1.08213007528683,-1.6305722204049,-2.86400723214732,-3.56665194924018,0,-5.20841772557981,-4.28024653218525,0.260926376590336,-0.0488021728415171,0.57885731228063,0.155974614833013,0.0131261384002648,0.726138459101058,0.561366591531909,0.528034776333349,5.294
"3",3,0.897781883442375,0.484159045155554,0.984871606606807,0.342467103388724,0.238806373378623,0.303555513300733,0.0732374878159717,0.0418564036018343,0.0974007016357606,1.17204044332149,0.0117595172498511,0.0297270395782655,1.36851699983316,0.0175834163404178,3.70634160245778,1.56071431747402,0.672769659379702,0.672769659379702,0.672769659379702,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-2.47485834853793,-2.71922737371056,-3.90784243585555,-2.82242002417182,-1.84438666420111,-1.29426689240104,-0.517887016452604,-2.4425530348177,-0.456525121442716,-0.495519046488499,-0.913619628397723,-1.66857312159047,0.176585776962011,0.440808366597792,0.00288521509964921,-0.314130944106899,-1.01875937431204,-1.49931681381203,-0.13531544648269,-2.64994638904742,-0.369117794452518,-0.183843634115501,-0.36918898038461,0.0101221755566108,-0.161260405335515,0.432389959148612,0.343567004401205,5.28621,0.770379056245341,1466,2819,6212.59676437698,8952.24171294094,14216.9641082431,21073.4055742228,5040.75948723101,6004.50171050649,9246.5784620638,12653.9892536498,9560.16255815434,1802.2709331567,258.81443921089,4.52062308483096,1.58278205285074,0.500384607525481,0.620926809048939,0.703538612581923,-0.313432779231997,-0.857104486981804,-2.08299083033428,-3.29301211818572,-1.02988669428382,-1.63516809068926,-2.83792500288951,-3.53075347985432,0,-5.87824712505363,-4.57696882204588,-0.445713180795808,0.0492517386143606,-0.0162465027997409,0.511038817172882,0.431612581145241,0.615953083773645,0.4107840808763,0.488150677112175,5.294
"4",4,0.893716581795207,0.490507287431624,0.984645453295476,0.343922698307856,0.270259390971457,0.263325168543322,0.0715658943081676,0.040964516079985,0.0962269971802219,1.15966196342212,0.0113269424070647,0.028092444919611,1.54553473766464,0.0169654860083476,5.13142053241503,1.29724373183701,0.619965692890699,0.619965692890699,0.619965692890699,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-3.06770006662146,-2.51477346272179,-3.84395907997215,-2.75422714535998,-1.90466017399392,-1.33053033535056,-0.478697905172356,-2.55501663073225,-0.507040500618089,-0.527924491760921,-0.969196968299158,-1.61915832658945,-0.124398398670742,0.151966236138372,0.189548144754588,-0.517372183169196,-0.876120508686612,-1.53570487064495,-0.0249886623650629,-2.70154115282105,-0.345809326130494,0.047609145030605,0.538521454869431,-0.109917916803872,0.174257023031134,0.241076527805517,0.476364472600358,5.28621,0.769543648831491,1466,2819,6201.89140494251,9160.17968977105,13984.2210766943,20583.0723516461,9909.27442949785,6700.28672188582,9413.79201911398,15809.3253740337,17141.9421195436,1758.72391913106,242.390744822457,5.68084892923211,1.60817977061628,0.255460199052592,0.682248912216997,0.586901405248991,-0.216350169187837,-0.921863478382031,-1.77204095305272,-3.30331600849647,-0.935910835877117,-1.66622080436618,-2.72208112388364,-3.63542273247575,0,-5.67603452917256,-4.47699750169704,0.248254828716011,0.337625859785484,0.261150715152764,-0.331937126134166,-0.270642591088037,0.387866580065238,0.602445599987346,0.735892211796996,5.294
"5",5,0.896100466850209,0.521870071248433,0.983358654284109,0.346079469588797,0.281594266368463,0.324036069870071,0.0712230345364733,0.0449620738912644,0.101460003114176,1.07238332719011,0.0120213761790281,0.0266881916349906,1.51144937069504,0.0165224929016211,5.24858970827716,1.87683873089571,0.658829355781088,0.658829355781088,0.658829355781088,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-2.82389267556175,-2.60158899484982,-3.88175931621742,-2.76895159681638,-1.89087810250682,-1.22931611472693,-0.437986140817961,-2.72652879568527,-0.396874994577516,-0.505630650615041,-0.979891570749341,-1.57770106876589,-0.291086793297363,0.309149833461662,0.0765904045703775,-0.338554487238902,-0.905325827901115,-1.43285137721439,-0.324255073257178,-2.65866028746238,0.166474330293514,0.245111198326934,0.451728491777366,-0.174959790851176,0.194969042931882,0.21089026623148,0.282384110492715,5.28621,0.772839649067811,1466,2819,6227.7670035079,8888.55876868618,14129.6250880274,20964.7350999306,6815.2949697778,5719.7906182888,11014.5598427332,11770.0292031897,15249.8000081352,1765.97441971796,268.814713555443,5.18785379214529,1.13856030974754,-0.00171717987034322,0.153138861233842,0.66169622018357,-0.129773884012485,-0.947721713192739,-2.10993945721766,-3.23382085977533,-1.06439642436491,-1.53144983015421,-2.60547249764581,-3.51330926865176,0,-5.52462013178253,-4.60939193053974,0.20641435711452,0.081951763829808,-0.136048305239808,0.0870262151338391,-0.430509005606403,0.737578741006633,0.756417310869475,0.444082040131158,5.294
"6",6,0.89190522685629,0.495217446638125,0.984693086887818,0.342205519928612,0.268123057220769,0.342253510356053,0.0749416451784165,0.0435745736516245,0.0914381325283259,1.16449340371342,0.0118189447984179,0.0286164822694138,1.20637607776093,0.0179094446955894,4.73369613750482,1.31870935143055,0.763966750557386,0.763966750557386,0.763966750557386,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-2.92136565657755,-2.77494581967996,-3.80025326783696,-2.80292445454099,-1.99876778966294,-1.22260317116703,-0.452017008134456,-2.81559442154048,-0.435136767873053,-0.514335351848409,-0.907599832183586,-1.69075692750769,-0.00952664973012936,0.00770908532367213,0.0553979104238559,-0.335803185302061,-0.908050642435741,-1.54226322449088,-0.175984319392064,-2.75377208620951,-0.00447551367666143,0.62207690819018,0.474776256772312,-0.0564565070325859,0.147498470659481,0.276566289618962,0.254636752928305,5.28621,0.769170786634308,1466,2819,6176.03268891971,9207.4654297902,13765.8697444765,21648.5724733181,4609.28527398309,5683.50423223566,7375.1500182831,9035.81188851266,27101.6219507282,1747.23624652192,239.281736834237,5.83232482779342,1.35613856165118,0.327243430515473,0.778776166608003,0.499129393088193,-0.465681661306336,-0.928904393926648,-2.04292230737156,-3.02724623639611,-1.12203896342596,-1.54058532674517,-2.78573528608105,-3.55957764448137,0,-5.57293033163237,-4.54662453146258,-0.804955504579855,0.79577664619168,-0.761727482853097,0.784035062412022,0.115854606897992,0.572152657978769,0.456238834372204,0.476380690535418,5.294
"7",7,0.896981857033271,0.486759937499161,0.984986073854061,0.345252755547672,0.239191398622373,0.335189237084323,0.0731213591183488,0.0441553710051792,0.100858908069723,1.30114433369908,0.0112338588567495,0.029949225840798,1.96100743831907,0.0170593663503429,4.33086718838806,1.50633898802574,0.70447046350669,0.70447046350669,0.70447046350669,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-2.4216898276347,-2.50483708668611,-3.80424191366192,-2.92429279471529,-2.00504830288068,-1.29588040446208,-0.464187814468606,-2.70867599565835,-0.474244539593922,-0.509948724763528,-0.95424775207982,-1.69878619008909,0.0425935935316377,0.30874962860458,0.140848607709141,-0.495429033397873,-0.926553653348239,-1.59307417847284,-0.182703920696325,-2.67579089362371,-0.0905749637218448,-0.169771589079253,-0.0552463014916572,-0.146960382560548,0.338764546361639,0.349778587375135,0.47929577595601,5.28621,0.775027201370906,1466,2819,6211.16256006872,9003.08461500335,13853.2887075643,21410.4894143574,5923.54898570333,5867.99059333981,11060.1893960289,12984.0311183775,19960.9739293294,1789.08726083512,248.975132628247,4.78702250446147,1.44354362645641,0.537014828604086,0.968313132653128,0.726250089774625,-0.187304807853226,-1.05417804993158,-2.02986635779798,-2.88388688922885,-1.01404941537559,-1.41565531541378,-2.55514953193374,-3.63287670578504,0,-5.4310419733402,-4.62691543606489,-0.920684032798129,0.0277905104039063,0.824388907485864,0.0759229681956541,0.214350223944385,0.568467464286111,0.824383628565482,0.599317025774273,5.294
"8",8,0.893336305254956,0.493237140697332,0.98484474466743,0.347999083986169,0.244813553383207,0.348713760575868,0.0732310408892799,0.0379337380704024,0.101954947700899,1.38602347372486,0.0119019198558112,0.0290889565085548,1.64390108072398,0.0171475962671608,4.51548508232801,1.66410474409494,0.730198699891501,0.730198699891501,0.730198699891501,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-2.81040647167178,-2.46716950595994,-3.74098966478588,-2.83944363047227,-1.87664937546134,-1.333338908809,-0.491733255015704,-2.47196252052585,-0.478905179877313,-0.487665009979914,-0.937692981968641,-1.57613084951783,0.204081172377679,0.189128253453792,-0.0144403789874256,-0.458961106153581,-0.949862405791958,-1.66524369307464,-0.118036294939223,-2.7580145482551,-0.129199939734815,0.979926307339566,-0.320049706075227,0.137865136443364,0.141546004944233,0.231871307598574,0.110365828397322,5.28621,0.769988692057248,1466,2819,6285.69643964992,8958.69396127054,14040.4912719167,21170.4711423336,7648.42503645645,5161.46997863462,9148.38466885793,9239.58334347294,14307.6698288673,1766.4572082513,253.66408996996,5.60478615108932,1.79178712456155,0.993920062438653,0.875915501311412,0.993212800171693,-0.314524957356235,-0.986594049246495,-2.02655400508095,-2.96780301593868,-1.12427047999283,-1.6135529484889,-2.70835687428843,-3.39536159524709,0,-4.96411506024424,-4.43153022389728,1.43886919491994,0.72109314306185,-0.107160730150657,-0.031831563721368,-0.556008060980294,0.721583697985543,0.742120241184502,0.325752718007733,5.294
"9",9,0.893934729532039,0.472934373941452,0.984567480226183,0.346050944376,0.263017556051755,0.361305072515646,0.0727366018664967,0.0417405601459698,0.100478733183932,1.36013475796843,0.0121950672998036,0.0278190459252391,1.6045641546837,0.0165392140926916,4.74025145146368,1.55864472315592,0.639334390306777,0.639334390306777,0.639334390306777,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-2.84691688313166,-2.57132343110075,-3.7578421501948,-2.69736928154909,-1.84854511870058,-1.30043933304973,-0.410554375347648,-2.76987169306844,-0.457944902824067,-0.435457048032328,-0.974825251217226,-1.64528994629415,0.0363927052191212,0.264350567295608,0.038284227520626,-0.434335723927117,-1.04114898492374,-1.67875684892372,-0.262980226738166,-2.63949428422026,-0.0436466584552101,0.81082957318473,0.127892983412775,-0.132303455533537,0.280667080967978,0.259438734517806,0.314240708101032,5.28621,0.771996034080272,1466,2819,6244.34830281364,9154.62239120023,14597.4772298742,21623.792274426,4778.26966515597,5166.01934394011,11718.9869167295,10050.1099677423,12611.4766018147,1830.20622594523,249.239267854553,5.57889675160485,1.4526521507306,-0.0720131183528548,0.411357348632428,0.676608302912581,-0.472296245230388,-0.948373042060648,-1.89077642197722,-3.36993305970956,-0.721001521403317,-1.31170301499666,-2.71381540254827,-3.51125733043254,0,-5.71039422551881,-4.40748092247903,-0.603309242280893,0.672446564825804,0.637565786019793,0.457204991969308,0.0337743480536362,0.65942841601258,0.9251092282728,0.780370460449622,5.294
"10",10,0.897302683242293,0.478629946611092,0.985196478361525,0.346836255318531,0.256263380244147,0.317100115645248,0.07470845847642,0.044717343588761,0.0969581331262882,1.05618118798438,0.0115730066761792,0.0313389988756772,1.29917426678585,0.0172415796282465,5.35648611322544,1.45594866182677,0.699991685658882,0.699991685658882,0.699991685658882,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-2.79448650761821,-2.58102756774923,-3.84114633462316,-2.79456132113835,-1.94265978312358,-1.30510232218263,-0.50904352126897,-2.75921804628293,-0.469757712806832,-0.506692757877063,-0.95616484697453,-1.5305368975287,0.0839984715206262,0.377989613448217,-0.194946943786713,-0.50442200355879,-0.858122186945321,-1.59744022558711,-0.109082352173685,-2.65949287925609,-0.161952362886566,0.770773249738965,0.637523095602537,-0.176927648897736,0.104886682894396,0.447221490873997,0.307995282545853,5.28621,0.77021707939737,1466,2819,6213.12702485935,8757.61628444125,14205.9038168797,20923.6934323509,6912.51353847649,6337.81204650665,9438.33572939724,9428.43627602779,16454.2362228443,1750.70057309862,251.992957748635,5.37195151225611,1.2915866075784,0.422320734013815,0.538500038421565,0.696937538425703,-0.434840943638109,-0.902356571018671,-1.93212443840652,-3.1520712440508,-1.05602077522079,-1.23343778095225,-2.47717499833525,-3.49574350933535,0,-4.97418675997893,-4.59973358476028,-0.958135894964467,-0.808770070402969,-0.0488129097250514,0.836544308428295,-0.142471147982713,0.576580365029424,0.574060884160586,0.386558133936903,5.294
