LAS_Sens_Non_Elderly,LAS_Sens_Elderly,LAS_Spec_Non_Elderly,LAS_Spec_Elderly,WMAS_Sens_Non_Elderly,WMAS_Sens_Elderly,WMAS_Spec_Non_Elderly,WMAS_Spec_Elderly,SWAST_Sens_Non_Elderly,SWAST_Sens_Elderly,SWAST_Spec_Non_Elderly,SWAST_Spec_Elderly,WMAS_P3_Sens_Non_Elderly,WMAS_P3_Sens_Elderly,WMAS_P3_WMAS_Spec_Non_Elderly,WMAS_P3_Spec_Elderly,YAS_Sens_Non_Elderly,YAS_Sens_Elderly,YAS_Spec_Non_Elderly,YAS_Spec_Elderly,YAS_P3_Sens_Non_Elderly,YAS_P3_Sens_Elderly,YAS_P3_Spec_Non_Elderly,YAS_P3_Spec_Elderly
0.75,0.377,0.84,0.938,0.635,0.242,0.96,0.993,0.408,0.165,0.958,0.993,0.656,0.289,0.954,0.981,0.771,0.322,0.89,0.963,0.636,0.217,0.887,0.952
0.715909091,0.40952381,0.841004184,0.976190476,0.652694611,0.240963855,0.963157895,0.98880597,0.47008547,0.158823529,0.933774834,0.985714286,0.597701149,0.3125,0.957061901,0.979613879,0.821917808,0.410714286,0.919354839,0.957446809,0.615384615,0.217687075,0.881123059,0.950343938
0.744444444,0.518867925,0.831223629,0.937799043,0.582822086,0.2,0.953608247,0.985663082,0.50862069,0.123076923,0.953947368,0.988235294,0.681318681,0.212389381,0.955715532,0.979789814,0.810126582,0.326732673,0.93220339,0.947058824,0.633333333,0.239726027,0.891778774,0.955297657
0.806818182,0.345794393,0.849372385,0.956730769,0.617647059,0.276315789,0.951871658,0.992907801,0.387096774,0.142857143,0.979166667,1,0.657894737,0.302521008,0.958469232,0.984492988,0.743243243,0.36440678,0.910569106,0.950464396,0.662650602,0.236363636,0.882022472,0.959430298
0.794520548,0.336363636,0.807086614,0.92195122,0.641509434,0.280821918,0.944444444,1,0.4296875,0.143646409,0.935714286,0.992565056,0.688888889,0.256,0.952017448,0.98245614,0.849315068,0.393442623,0.935483871,0.968652038,0.626168224,0.223776224,0.891006552,0.954467354
0.734939759,0.445454545,0.860655738,0.917073171,0.6,0.242774566,0.930481283,0.996168582,0.403361345,0.203592814,0.946308725,0.992932862,0.631067961,0.380952381,0.95888014,0.980429208,0.75,0.36036036,0.842975207,0.954545455,0.628571429,0.176923077,0.881845238,0.952238167
0.743902439,0.41,0.804081633,0.911627907,0.673202614,0.193939394,0.93627451,0.996282528,0.398373984,0.118421053,0.965517241,1,0.67032967,0.318584071,0.953752182,0.983292913,0.767123288,0.342342342,0.935483871,0.93030303,0.660550459,0.187096774,0.88647199,0.956072351
0.8125,0.488,0.809716599,0.952631579,0.666666667,0.224852071,0.950248756,1,0.387096774,0.141935484,0.979166667,1,0.662790698,0.239316239,0.95728917,0.979644109,0.644736842,0.276190476,0.909090909,0.970238095,0.652631579,0.18115942,0.885756677,0.951941643
0.706521739,0.383333333,0.893617021,0.943589744,0.688741722,0.24852071,0.966019417,0.99245283,0.507575758,0.154696133,0.955882353,1,0.594059406,0.293577982,0.954744206,0.983571236,0.757142857,0.230215827,0.905511811,0.953642384,0.741666667,0.187919463,0.886696562,0.950107527
0.709302326,0.336538462,0.788381743,0.957345972,0.63253012,0.289655172,0.968586387,0.996539792,0.433070866,0.159235669,0.95035461,0.986348123,0.697916667,0.267857143,0.955448788,0.980331402,0.847222222,0.364341085,0.912,0.980769231,0.724770642,0.192857143,0.880810489,0.953208843
