,ISS_1,ISS_2,_IGCSgr_0,_IGCSgr_1,_IGCSgr_2,_IGCSgr_3,_IGCSgr_4,_IGCSgr_6,_Iagegr_1,_Iagegr_2,_Iagegr_3,_Iagegr_5,_Iagegr_6,_Iagegr_7,_Iagegr_8,_IGender_2,_IageXGe~1_2,_IageXGe~2_2,_IageXGe~3_2,_IageXGe~5_2,_IageXGe~6_2,_IageXGe~7_2,_IageXGe~8_2,_ItotWtgr_1,_ItotWtgr_3,_ItotWtgr_4,_ItotWtgr_5,_cons
ISS_1,0.01788191,0.00885664,-0.00043612,-0.00092021,-0.00064535,-0.00037036,-0.0001675,-0.00076512,0.00050405,0.00010489,0.00012965,0.00023098,0.00038362,0.00038516,0.00044447,-0.00022949,0.00034367,-0.00023042,0.00045455,0.00043397,0.00048954,0.00039136,0.0004324,-0.00002802,0.00012955,0.00007063,0.00011852,-0.0014308
ISS_2,0.00885664,0.00490078,-0.00052379,-0.0007347,-0.00065336,-0.00048043,-0.00026882,-0.00070389,0.00036351,0.00007804,0.00012629,0.00014214,0.00028529,0.00029538,0.00032806,-0.00008898,0.000065,-0.00008051,0.00011545,0.0002434,0.00030467,0.00017874,0.00026662,-0.0000184,0.00008447,0.00008546,0.00012844,-0.00080706
GCS=3,-0.00043612,-0.00052379,0.00257289,0.00079165,0.00094492,0.00074479,0.00047275,0.00114548,-0.00011568,-0.00003351,-0.000001593,0.00021552,0.00041169,0.00058558,0.00091152,9.525E-08,0.00036472,-0.00037077,0.0002665,0.00022602,0.00008946,0.00017654,-0.00001671,-0.0000798,2.675E-07,0.00002225,0.00006421,-0.00108449
GCS 4 - 5,-0.00092021,-0.0007347,0.00079165,0.00577243,0.00082352,0.00040318,0.00034632,0.00092207,0.00019023,-0.00036949,-0.00027345,0.00005706,0.000347,0.00048022,0.00059418,0.00011111,-0.00043663,0.00001027,0.00003556,-0.00011129,-0.00011679,-0.00026067,-0.00015932,-0.00008067,-0.0000356,-0.00002583,0.00012829,-0.00073074
GCS 6 - 8,-0.00064535,-0.00065336,0.00094492,0.00082352,0.00361875,0.00058939,0.00044974,0.00093516,-0.00051267,-0.00012874,-0.00004609,-0.00001549,0.00013486,0.00015833,0.00042983,-0.00009915,0.00044693,-0.00061834,0.00028063,0.00015792,0.00022908,0.00027537,0.00009806,-0.00001482,-0.000005434,-0.000002268,0.00008659,-0.00066889
GCS 9 - 12,-0.00037036,-0.00048043,0.00074479,0.00040318,0.00058939,0.00253528,0.00051908,0.00068163,-0.000005906,0.00014016,-0.00005713,0.00011252,-0.00007521,-0.00011689,0.00012715,-0.00005862,0.00017675,0.00003844,0.00029968,0.00004335,0.00012107,0.00023378,0.00003548,-0.000003876,-0.00004314,-0.000007515,-0.00001121,-0.00042715
GCS 13 - 14,-0.0001675,-0.00026882,0.00047275,0.00034632,0.00044974,0.00051908,0.00132654,0.00045697,-0.00000852,0.00009842,3.541E-07,0.00003981,-0.00002928,-0.00009331,-0.00004526,-0.00001378,0.000079,-0.00001465,0.00008436,0.00001092,0.00006006,0.00010437,0.0000109,-0.000007134,-0.00006102,-0.00007817,-0.00008813,-0.00028476
"GCS ""Intubated""",-0.00076512,-0.00070389,0.00114548,0.00092207,0.00093516,0.00068163,0.00045697,0.01015702,-0.00016776,-0.00007612,0.00006777,0.00012692,0.00035138,0.00042199,0.00074353,-0.00003204,0.00012078,-0.00013886,-0.00011471,0.00023031,0.0000325,0.00018508,0.00001442,-0.0000864,0.000009322,0.0000122,0.00010754,-0.00091797
Age 0  - 5,0.00050405,0.00036351,-0.00011568,0.00019023,-0.00051267,-0.000005906,-0.00000852,-0.00016776,0.02625322,0.0011671,0.00064865,0.00135409,0.00128767,0.00130355,0.00123732,0.00147284,-0.02552855,-0.00002184,-0.00106366,-0.00146414,-0.00166863,-0.00176083,-0.00152678,0.00004946,0.00004504,0.00003607,-6.058E-08,-0.00127858
Age 6 - 10,0.00010489,0.00007804,-0.00003351,-0.00036949,-0.00012874,0.00014016,0.00009842,-0.00007612,0.0011671,0.05291074,0.00124766,0.00139114,0.00109872,0.00097315,0.00112015,0.00126203,-0.00129343,-0.05270648,-0.00118379,-0.00149614,-0.00108635,-0.00110146,-0.00124596,0.00021504,0.00021816,0.00014179,0.00021345,-0.00131664
