,LAS_sens_nonElderly,LAS_spec_nonElderly,MATTS_sens_nonElderly,MATTS_spec_nonElderly,WMAS_sens_nonElderly,WMAS_spec_nonElderly,YAS_sens_nonElderly,YAS_spec_nonElderly,SWAST_sens_nonElderly,SWAST_spec_nonElderly,LAS_sens_Elderly,LAS_spec_Elderly,MATTS_sens_Elderly,MATTS_spec_Elderly,WMAS_sens_Elderly,WMAS_spec_Elderly,YAS_sens_Elderly,YAS_spec_Elderly,SWAST_sens_Elderly,SWAST_spec_Elderly
1,0.668367347,0.832692308,0.489795918,0.928846154,0.581632653,0.861538462,0.591836735,0.832692308,0.426020408,0.938461538,0.429775281,0.881818182,0.261235955,0.967045455,0.348314607,0.896590909,0.412921348,0.881818182,0.235955056,0.957954545
2,0.67,0.8515625,0.44,0.935546875,0.6,0.880859375,0.5925,0.8515625,0.4,0.935546875,0.435233161,0.862352941,0.274611399,0.968235294,0.373056995,0.878823529,0.411917098,0.862352941,0.259067358,0.96
3,0.676767677,0.810077519,0.487373737,0.937984496,0.613636364,0.858527132,0.606060606,0.810077519,0.424242424,0.939922481,0.456582633,0.905574516,0.266106443,0.971558589,0.352941176,0.911262799,0.448179272,0.905574516,0.235294118,0.971558589
4,0.702412869,0.857142857,0.485254692,0.93877551,0.63002681,0.890538033,0.632707775,0.857142857,0.439678284,0.944341373,0.438016529,0.886597938,0.275482094,0.96792669,0.371900826,0.899198167,0.415977961,0.886597938,0.236914601,0.964490263
5,0.658031088,0.849809886,0.518134715,0.937262357,0.585492228,0.8878327,0.567357513,0.849809886,0.46373057,0.94486692,0.414698163,0.877192982,0.291338583,0.970760234,0.354330709,0.898245614,0.401574803,0.877192982,0.230971129,0.952046784
6,0.674796748,0.836095764,0.498644986,0.924493554,0.593495935,0.861878453,0.615176152,0.836095764,0.395663957,0.944751381,0.391304348,0.8640553,0.220108696,0.949308756,0.331521739,0.881336406,0.375,0.8640553,0.214673913,0.938940092
7,0.69047619,0.84082397,0.518518519,0.926966292,0.605820106,0.878277154,0.605820106,0.84082397,0.439153439,0.938202247,0.393939394,0.883002208,0.236363636,0.965783664,0.306060606,0.886313466,0.378787879,0.883002208,0.206060606,0.951434879
8,0.663414634,0.846613546,0.490243902,0.940239044,0.541463415,0.852589641,0.607317073,0.846613546,0.392682927,0.940239044,0.515406162,0.880546075,0.302521008,0.969283276,0.420168067,0.893060296,0.492997199,0.880546075,0.305322129,0.961319681
9,0.646753247,0.842504744,0.467532468,0.933586338,0.548051948,0.872865275,0.579220779,0.842504744,0.397402597,0.948766603,0.459064327,0.880313199,0.283625731,0.96196868,0.35380117,0.880313199,0.432748538,0.880313199,0.263157895,0.948545861
10,0.696022727,0.816071429,0.528409091,0.923214286,0.585227273,0.848214286,0.610795455,0.816071429,0.448863636,0.942857143,0.424418605,0.8867713,0.270348837,0.966367713,0.354651163,0.915919283,0.401162791,0.8867713,0.255813953,0.959641256
11,0.684210526,0.823308271,0.521052632,0.917293233,0.581578947,0.853383459,0.581578947,0.823308271,0.465789474,0.934210526,0.426900585,0.871364653,0.298245614,0.960850112,0.350877193,0.884787472,0.418128655,0.871364653,0.257309942,0.951901566
