Age,Men,Women
0,1558.577717,1350.839112
1,1447.712037,1221.675213
2,1248.584359,1061.296705
3,1189.384238,995.6383895
4,1214.140652,1033.311193
5,994.5620237,868.627222
6,962.2710489,851.4053688
7,872.9326853,771.7542976
8,813.7325649,733.0051279
9,782.5179559,709.3250797
10,768.5252001,714.7069088
11,783.5943217,734.0814937
12,818.0380282,767.4488343
13,872.9326853,829.8780523
14,900.9181968,907.3763918
15,936.4382691,998.867487
16,908.4527576,1221.675213
17,851.4053688,1251.813456
18,833.1071497,1323.929967
19,767.4488343,1355.144576
20,733.0051279,1432.642915
21,741.6160545,1512.293986
22,736.2342253,1587.639594
23,728.6996646,1670.519763
24,745.9215178,1777.07998
25,744.845152,1844.891027
26,748.0742494,1926.694829
27,770.6779318,2039.713241
28,790.0525167,2148.42619
29,824.4962231,2233.45909
30,829.8780523,2252.833675
31,867.5508562,2342.172039
32,905.2236601,2408.90672
33,928.9037083,2384.150306
34,903.0709285,2260.368236
35,903.0709285,2169.953506
36,913.8345867,2077.386045
37,950.4310248,1991.276779
38,952.5837565,1865.341977
39,976.2638047,1763.087224
40,1007.478414,1724.338054
41,1056.991242,1718.956225
42,1040.845754,1614.54874
43,1068.831266,1619.930569
44,1083.900387,1582.257765
45,1256.11892,1698.505274
46,1285.180797,1741.559907
47,1343.304552,1787.843638
48,1377.748258,1811.523686
49,1427.261086,1853.501953
50,1480.003011,1891.174757
51,1539.203132,1957.909438
52,1553.195888,1954.680341
53,1599.479618,1978.360389
54,1661.908836,2020.338656
55,1735.101712,2061.240558
56,1795.378199,2079.538777
57,1825.516442,2079.538777
58,1936.382122,2154.884385
59,2000.964072,2181.79353
60,2049.400534,2197.939018
61,2087.073338,2192.557189
62,2140.891629,2238.840919
63,2151.655287,2205.473579
64,2282.971918,2315.262893
65,3112.84997,2973.998779
66,2787.787491,2686.609103
67,2996.602461,2846.987611
68,3167.744627,2962.158755
69,3448.676108,3168.820993
70,3432.530621,3178.508286
71,3335.657696,3054.726216
72,3562.770886,3258.159357
73,3782.349514,3389.475988
74,3979.324461,3508.952594
75,4335.601549,3806.029563
76,4483.063667,3933.04073
77,4791.98066,4097.724702
78,4789.827928,4097.724702
79,4902.84634,4212.895845
80,5016.941117,4265.637771
81,5204.228771,4421.710815
82,5332.316305,4616.53303
83,5577.727713,4739.238734
84,5579.880445,4773.682441
85,6161.117991,5242.977941
