"","ISS","n","cumulative.percentage","sampling.cutoffs"
"1",0,302,0.0639830508474576,-5.80917616254904
"2",1,1761,0.437076271186441,4.02314479570773
"3",2,619,0.568220338983051,6.40397335185717
"4",3,81,0.585381355932203,6.72000383577301
"5",4,493,0.689830508474576,8.73645217177842
"6",5,226,0.73771186440678,9.75254979812665
"7",6,68,0.752118644067797,10.0760062776191
"8",8,38,0.760169491525424,10.2611191553265
"9",9,378,0.840254237288136,12.3422039070255
"10",10,183,0.879025423728814,13.6011800910581
"11",11,39,0.88728813559322,13.904724026246
"12",12,12,0.889830508474576,14.0013007750247
"13",13,39,0.898093220338983,14.3266988623419
"14",14,53,0.909322033898305,14.8013084019554
"15",16,50,0.919915254237288,15.2909109812126
"16",17,73,0.935381355932203,16.1028156869025
"17",18,19,0.939406779661017,16.3385431250876
"18",19,14,0.942372881355932,16.5202008204172
"19",20,33,0.949364406779661,16.9795402096527
"20",21,36,0.956991525423729,17.542401966847
"21",22,22,0.961652542372881,17.927395005651
"22",24,12,0.964194915254237,18.1537400516596
"23",25,27,0.969915254237288,18.71580657182
"24",26,23,0.97478813559322,19.2695182591046
"25",27,11,0.977118644067797,19.5667233387227
"26",29,29,0.983262711864407,20.495095293176
"27",30,6,0.984533898305085,20.7229120397479
"28",32,8,0.986228813559322,21.0531103971736
"29",33,6,0.9875,21.3246160797366
"31",34.5,19,0.991525423728814,22.3801431690237
"33",37,8,0.993220338983051,22.9635553901776
"35",41.5,9,0.995127118644068,23.7998018776727
"36",43,5,0.996186440677966,24.4012535721905
"37",45,10,0.998305084745763,26.2889745396244
"40",51.6666666666667,8,1,Inf
