Age,Men,Women
0,1547.912587,1341.595509
1,1437.805546,1213.31546
2,1240.040471,1054.0344
3,1181.245448,988.8253753
4,1205.832458,1026.240389
5,987.7563749,862.6833274
6,955.6863627,845.5793209
7,866.959329,766.4732909
8,808.1643067,727.9892763
9,777.1632949,704.4712673
10,763.2662897,709.8162694
11,778.2322953,729.0582767
12,812.4403083,762.1972893
13,866.959329,824.1993128
14,894.7533396,901.167342
15,930.0303529,992.0323765
16,902.2363424,1213.31546
17,845.5793209,1243.247472
18,827.406314,1314.870499
19,762.1972893,1345.871511
20,727.9892763,1422.83954
21,736.5412795,1501.94557
22,731.1962775,1576.775598
23,723.7132747,1659.08863
24,740.8172811,1764.91967
25,739.7482807,1832.266695
26,742.955282,1913.510726
27,765.4042905,2025.755769
28,784.6462978,2133.72481
29,818.8543108,2218.175842
30,824.1993128,2237.417849
31,861.614327,2326.144883
32,899.0293412,2392.422908
33,922.5473501,2367.835899
34,896.8913404,2244.900852
35,896.8913404,2155.104818
36,907.5813444,2063.170783
37,943.9273582,1977.650751
38,946.065359,1852.577703
39,969.583368,1751.022665
40,1000.58438,1712.53865
41,1049.758398,1707.193648
42,1033.723392,1603.500609
43,1061.517403,1608.845611
44,1076.483409,1571.430596
45,1247.523473,1686.88264
46,1276.386484,1729.642656
47,1334.112506,1775.609674
48,1368.320519,1799.127683
49,1417.494538,1840.818699
50,1469.875558,1878.233713
51,1528.67058,1944.511738
52,1542.567585,1941.304737
53,1588.534603,1964.822746
54,1650.536626,2006.513761
55,1723.228654,2047.135777
56,1783.092677,2065.308784
57,1813.024688,2065.308784
58,1923.13173,2140.138812
59,1987.271754,2166.863822
60,2035.376772,2182.898828
61,2072.791787,2177.553826
62,2126.241807,2223.520844
63,2136.931811,2190.381831
64,2267.34986,2299.419873
65,3091.549173,2953.648121
66,2768.711051,2668.225013
67,2976.097129,2827.506073
68,3146.068194,2941.889116
69,3425.0773,3147.137194
70,3409.042294,3156.758198
71,3312.832257,3033.823151
72,3538.391343,3235.864228
73,3756.467426,3366.282278
74,3952.0945,3484.941323
75,4305.933634,3779.985435
76,4452.38669,3906.127482
77,4759.189806,4069.684544
78,4757.051805,4069.684544
79,4869.296848,4184.067588
80,4982.610891,4236.448608
81,5168.616961,4391.453667
82,5295.82801,4584.94274
83,5539.560102,4706.808786
84,5541.698103,4741.016799
85,6118.958322,5207.100976
