,Mean_Alpha,SE_Beta,Dist,Source,Description
P_MTC_Tri_pos_ISS_o15,4001,479,Beta,Newgard et al. 2016. Journal of the American College of Surgeons,
P_MTC_Tri_neg_ISS_o15,318,338,Beta,Newgard et al. 2016. Journal of the American College of Surgeons,
P_MTC_Tri_pos_ISS_u16,21586,338,Beta,Newgard et al. 2016. Journal of the American College of Surgeons,
P_MTC_Tri_neg_ISS_u16,16573,31325,Beta,Newgard et al. 2016. Journal of the American College of Surgeons,
Transfer_nMTC_to_MTC_ISSo15_TP,90,248,Beta,Newgard et al. 2016. Journal of the American College of Surgeons,"Percentage of patients with an ISS ? 16, with a positive triage result who where transferred from a non major trauma centre to a major trauma centre"
Transfer_nMTC_to_MTC_ISSo15_TN,110,228,Beta,Newgard et al. 2016. Journal of the American College of Surgeons,"Percentage of patients with an ISS ? 16, with a positive triage result who where transferred from a non major trauma centre to a major trauma centre"
Transfer_nMTC_to_MTC_ISSu16_TP,393,4918,Beta,Newgard et al. 2016. Journal of the American College of Surgeons,"Percentage of patients with an ISS ? 16, with a positive triage result who where transferred from a non major trauma centre to a major trauma centre"
Transfer_nMTC_to_MTC_ISSu16_TN,228,5083,Beta,Newgard et al. 2016. Journal of the American College of Surgeons,"Percentage of patients with an ISS ? 16, with a positive triage result who where transferred from a non major trauma centre to a major trauma centre"
p_death_hosp_ISSo15_MTC,514,4623,Beta,Newgard et al. 2016. Journal of the American College of Surgeons,"Probability of dying during hospitalisation for a patient with an ISS ? 16, who was treated at a major trauma centre"
RR_p_death_hosp_ISSo15_nMTC,0.2231,0.1138,Normal_ln,"unclear, Newgard et al. 2013. Health Affairs",
p_death_hosp_ISSu16,898,73900,Beta,Newgard et al. 2016. Journal of the American College of Surgeons,Probability of dying during hospitalisation for a patient with an ISS < 16
p_death_y1_ISSo15_MTC,138,4470,Beta,Mackenzie et al. 2006. NEJM,Probability of dying between discharge and one year post-injury for a patient with an ISS ? 16 who was treated at a non-major trauma centre
RR_p_death_y1_nMTC,0.4947,0.2131,Normal_ln,Mackenzie et al. 2006. NEJM,
p_death_y1_ISSu16,1256,72614,Beta,Davidson et al. 2011 JAMA,Probability of dying between hospitalisation and one year post-injury for a patient with an ISS < 16
HR_p_death_lm_ISSo15,1.6467,0.1406,Normal_ln,"unclear, Cameron et al. 2005","Hazard ratio for the probability of death in the long term, for patients with an ISS ? 16"
HR_p_death_lm_ISSu15,0.3221,0.1204,Normal_ln,"unclear, Cameron et al. 2005","Hazard ratio for the probability of death in the long term, for patients with an ISS < 16"
U_ISS_o15_MTC,60.62,26.6,Beta,Ahmed et al. One-year functional outcomes following major trauma: experience of a UK level 1 major trauma centre. 2017,Utility of patients with an ISS of over 15 who get treated at a  Major trauma centre
U_ISS_o15_nMTC,60.62,26.6,Beta,Ahmed et al. One-year functional outcomes following major trauma: experience of a UK level 1 major trauma centre. 2017,Utility of patients with an ISS of over 15 who get treated at a non Major trauma centre
U_ISS_u16_o8,60.62,26.6,Beta,Ahmed et al. One-year functional outcomes following major trauma: experience of a UK level 1 major trauma centre. 2017,Utility of patients with an ISS of under 16
Umult_ISS_u9,1,,Fixed,Assumption that they will have a utility equal to the general population,
U_genpop_cons,0.9508566,,Fixed,Ara et al. 2010. Populating an Economic Model with Health State Utility Values: Moving toward Better Practice. Value in Health 13(5),
U_genpop_male,0.0212126,,Fixed,Ara et al. 2010. Populating an Economic Model with Health State Utility Values: Moving toward Better Practice. Value in Health 13(5),
U_genpop_age,-0.0002587,,Fixed,Ara et al. 2010. Populating an Economic Model with Health State Utility Values: Moving toward Better Practice. Value in Health 13(5),
U_genpop_age_squared,-0.0000332,,Fixed,Ara et al. 2010. Populating an Economic Model with Health State Utility Values: Moving toward Better Practice. Value in Health 13(5),
