"","X","P_MTC_Tri_pos_ISS_o15","P_MTC_Tri_neg_ISS_o15","P_MTC_Tri_pos_ISS_u16","P_MTC_Tri_neg_ISS_u16","Transfer_nMTC_to_MTC_ISSo15_TP","Transfer_nMTC_to_MTC_ISSo15_TN","Transfer_nMTC_to_MTC_ISSu16_TP","Transfer_nMTC_to_MTC_ISSu16_TN","p_death_hosp_ISSo15_MTC","RR_p_death_hosp_ISSo15_nMTC","p_death_hosp_ISSu16","p_death_y1_ISSo15_MTC","RR_p_death_y1_nMTC","p_death_y1_ISSu16","HR_p_death_lm_ISSo15","HR_p_death_lm_ISSu15","U_ISS_o15_MTC","U_ISS_o15_nMTC","U_ISS_u16_o8","Umult_ISS_u9","U_genpop_cons","U_genpop_male","U_genpop_age","U_genpop_age_squared","p_death_hosp_TARN_sqrt_ISS","p_death_hosp_TARN_ln_ISS","p_death_hosp_TARN_GCS_3","p_death_hosp_TARN_GCS_4_5","p_death_hosp_TARN_GCS_6_8","p_death_hosp_TARN_GCS_9_12","p_death_hosp_TARN_GCS_13_14","p_death_hosp_TARN_GCS_intubated","p_death_hosp_TARN_CCI_unknown","p_death_hosp_TARN_CCI_1_5","p_death_hosp_TARN_CCI_6_10","p_death_hosp_TARN_CCI_o_10","p_death_hosp_TARN_age_0_5","p_death_hosp_TARN_age_6_10","p_death_hosp_TARN_age_11_15","p_death_hosp_TARN_age_45_54","p_death_hosp_TARN_age_55_64","p_death_hosp_TARN_age_65_74","p_death_hosp_TARN_gen_f","p_death_hosp_TARN_age_o_75","p_death_hosp_TARN_age_0_5_gen_f","p_death_hosp_TARN_age_6_10_gen_f","p_death_hosp_TARN_age_11_15_gen_f","p_death_hosp_TARN_age_45_54_gen_f","p_death_hosp_TARN_age_55_64_gen_f","p_death_hosp_TARN_age_65_74_gen_f","p_death_hosp_TARN_age_75_plus_gen_f","p_death_hosp_TARN_cons","p_MTC_ISS_o15_UK","C_MTC_ISS_o8_u16","C_MTC_ISS_o15","C_bluntt_ISS_U10","C_bluntt_ISS_U17_O_9","C_bluntt_ISS_U26_O16","C_bluntt_ISS_O25","C_pent_ISS_O0_U10","C_pent_ISS_O9_U16","C_pent_ISS_O15_U25","C_pent_ISS_O24_U34","C_pent_ISS_O34","C_disch_6m","C_additional_ambulance","Increase_lifetime_cost_ISS_o15","Increase_lifetime_cost_ISS_u15","TARN_old_Age_0_5","TARN_old_Age_6_10","TARN_old_Age_11_15","TARN_old_Age_45_54","TARN_old_Age_55_64","TARN_old_Age_65_75","TARN_old_Age_over_75","TARN_old_GCS_9_12","TARN_old_GCS_6_8","TARN_old_GCS_4_5","TARN_old_GCS_3","TARN_old_GCS_intubated","TARN_old_ISS_SQRT","TARN_old_ISS_LN","TARN_old_female","TARN_old_female_age_0_5","TARN_old_female_age_6_10","TARN_old_female_age_11_15","TARN_old_female_age_45_54","TARN_old_female_age_55_64","TARN_old_female_age_65_75","TARN_old_female_age_75_plus","TARN_old_constant"
"1",1,0.88888387793945,0.472278198478755,0.983936174607505,0.346226599294945,0.262845139783492,0.321638566362815,0.0651221800087751,0.0416693717068792,0.100345429266648,1.56530385576044,0.0127529735876289,0.0261265745752912,2.27958632103714,0.016597368585946,4.55651403132062,1.09686857406536,0.747482165723572,0.747482165723572,0.747482165723572,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-2.46419291825606,-2.43660615127381,-3.7292958779062,-2.69795853201325,-1.85190100030563,-1.34124208180201,-0.45751731723137,-2.60198383158478,-0.434984268777075,-0.470391611310694,-1.03542666706221,-1.60009922735268,0.194745003669921,0.451517046652353,0.172250131599511,-0.504521270142457,-0.866826873773425,-1.69924851838144,-0.198592094271626,-2.72727086031695,-0.419562524534789,0.587925921500612,-0.133624678506532,-0.0677401130221385,0.219589254818651,0.223446823967801,0.146266338266387,5.28621,0.771337818163986,1466,2819,6084.44505771377,8856.38170495806,14035.9576276953,21030.1170019456,7484.40223874513,6535.48109077854,8943.78285597302,9272.09062347644,33720.2811085616,1713.60657058244,241.692857708825,5.80252140029025,1.51902428065358,-0.0629773905647285,1.06203896315542,0.535173420157652,-0.389002156423458,-0.961971001765477,-1.98913045154776,-2.96538411305178,-1.00788256082782,-1.52979148232551,-2.60646124786076,-3.33618714313979,0,-4.93304176042246,-4.44297269432975,-1.11160474743574,0.083121445983705,-0.105208825778324,0.378098920320453,0.20714655318506,0.551904876158755,0.474656119038091,0.237839760342845,5.294
"2",2,0.886289648388643,0.480570957534645,0.984856601393961,0.345743094009724,0.274002998926899,0.344054561097015,0.0684678331362041,0.0427199054880511,0.0943297535814545,1.15227668091849,0.0127283324154308,0.0324837714366999,1.22734973727709,0.0172157619962479,5.19927841725117,1.17339087229064,0.665431813069972,0.665431813069972,0.665431813069972,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-2.7593169552578,-2.5738998292197,-3.78100960745124,-2.66311109157911,-1.8190312707078,-1.29076805774312,-0.466494806479394,-2.3037916679143,-0.491000760713967,-0.481825979029416,-0.978548548671239,-1.60115355389285,0.0634812844320203,-0.0940362621769384,-0.0811381180540218,-0.424193589837268,-1.00946522699091,-1.66886867765357,-0.232438688314888,-2.58440651952194,-0.432147527502839,1.16178974417756,0.418115768069362,-0.0439858992085123,0.447175852465883,0.314416759944838,0.432800027325124,5.28621,0.772225636047745,1466,2819,6172.78451686572,9100.22203245709,14264.8556467407,21250.7219173091,9008.42518340085,5156.98483929796,9669.4920864279,10322.511822615,25698.8892575414,1737.72806464267,256.296561906065,5.39017041523893,1.37473988584323,0.0568569973943403,0.387765278631221,0.638829020085367,-0.177553109650235,-0.861576338778875,-1.88487628923926,-2.96631361801118,-0.987465326638578,-1.40605913059516,-2.77668832380889,-3.35289755681157,0,-5.47753198716654,-4.85054113874116,1.28940874454526,0.714046996974503,-0.34260116637597,-0.144025200722507,0.297196679020043,0.652271186834123,1.02781135373129,0.45556260393136,5.294
"3",3,0.892337735358822,0.491022235821643,0.985056403433269,0.342188186992549,0.274158047499789,0.316120692291193,0.0700888422048721,0.0440654245401769,0.0992469457516291,1.2221866964826,0.011453856139032,0.0323587950191916,1.77474344100313,0.0182457082429913,5.65224416155927,1.29405560924152,0.639014836522506,0.639014836522506,0.639014836522506,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-2.68193839416475,-2.45346571219925,-3.78466809837789,-2.74409831989982,-1.84319128936761,-1.33887872981714,-0.400276626940494,-2.50796846343961,-0.435271254851154,-0.503728269668202,-0.903022335752354,-1.63671572209545,0.100861550082826,0.645882606903925,-0.273673618453225,-0.347111119559196,-0.920991470878426,-1.5215330290535,-0.338918886055823,-2.64536812349653,0.0360227152993426,-0.353114636915008,0.292701671322597,-0.0705233160856515,-0.0552762307445326,0.158864568969704,0.289624760122138,5.28621,0.768639390610942,1466,2819,6163.18495270819,9076.27171424768,14092.7035818396,20930.9687615043,4310.53335131718,6139.64191668892,9701.11571100537,9881.3693551409,18591.3946692528,1783.21686052334,248.483406815612,5.60004293317107,1.59480360512255,0.307612309689259,0.605773658140517,0.383406377755533,-0.438732612120747,-1.03285259926668,-2.01735232193067,-3.18340594909392,-0.92669384452968,-1.58486550190981,-2.73054409497577,-3.50387273320829,0,-5.57027454623741,-4.50635132610786,-0.50631574391109,-0.199313590811226,0.898347106404821,0.11409285265532,-0.0769511238755837,0.72183119366108,0.372914885202972,0.349274843399144,5.294
"4",4,0.884573356203891,0.462266593763442,0.98513100927102,0.344502772667864,0.273958566294587,0.325385559923619,0.0814769744100715,0.039441153537153,0.101586435748247,1.31865881905329,0.0112812785645855,0.0316419015442788,1.71958631082447,0.0162875337407353,4.80322601409953,1.09258110608789,0.694768244258818,0.694768244258818,0.694768244258818,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-2.54566207016398,-2.63015090282737,-3.81653639870697,-2.79039448906453,-1.8950230644947,-1.26640141287254,-0.448793305762636,-2.56920872520281,-0.47328507662648,-0.512642845250502,-0.922307808905385,-1.65350629373415,0.230711601405838,0.329882359526161,-0.244731202736236,-0.31366916394928,-0.922792982952862,-1.60614848508087,-0.141873601812873,-2.8159289157658,-0.159312070820882,0.246042384095707,-0.496065619425441,0.164699470457833,0.0900757634339456,0.116489776371711,0.319904885410134,5.28621,0.775526259589398,1466,2819,6166.67690093004,9176.82504849704,14241.6190918453,21452.3199786601,5102.30286343454,7046.56995379037,10724.7390265638,13266.4701974912,20818.826214142,1704.61085457246,242.933392184288,5.60331203974558,1.25324444956904,0.168849318832839,0.465184674931376,0.673353740079206,-0.2603914773247,-0.685748156122323,-2.03614969274595,-3.30056841763415,-1.16980477372416,-1.61265461446493,-2.65305325913518,-3.40230855093931,0,-5.07882762951562,-4.73559633857199,-0.305174489156161,0.274014322487851,-0.140053338377362,0.329863618787273,-0.320431279286634,0.383184534648997,0.543554488627781,0.578315390375681,5.294
"5",5,0.893724362654729,0.463758676558966,0.984131514757122,0.344781186825316,0.278413083060919,0.324484148219978,0.0664071022546192,0.0410078077018428,0.106984234061742,1.17050938736108,0.0118189168772737,0.0301695237038861,2.08949919901939,0.0173883578505255,4.55320637184252,1.50887639839647,0.750197141831728,0.750197141831728,0.750197141831728,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-2.58357604877451,-2.63000045670344,-3.78424014560898,-2.81340434172827,-1.84626172193147,-1.32599040008992,-0.500634555244437,-2.81275172972481,-0.501132434281083,-0.508633317197393,-1.00531274171135,-1.62743774532188,0.191317093480215,0.615293544001378,-0.358111893425486,-0.425855816612703,-1.05460295307888,-1.57439341640799,-0.209137629742906,-2.68831628370407,-0.827640428186852,-0.181474404240618,0.631910086696602,-0.0147587256878131,0.055321428959772,0.373157975391592,0.455930850101929,5.28621,0.76841650866913,1466,2819,6264.4595625172,9254.57909470068,14574.4899907254,21322.9232484188,6179.87660963435,5909.13204564019,10486.5702916421,10857.8399436865,14749.5830984678,1737.67394271947,244.121371814393,4.69980139619544,1.31344508978661,0.188649879205945,0.210289080139203,0.421982882921194,-0.398927799533856,-0.913169135090455,-2.08574942544873,-2.78550770756157,-1.08329504575646,-1.62208657530807,-2.76881345326408,-3.36552861839992,0,-5.63671730804888,-4.59891426301167,1.00102044539618,0.419398500521696,0.704978270205375,0.000260314379923882,0.31155550931205,0.745623145091382,0.581927848558592,0.605658978581977,5.294
"6",6,0.89061300378879,0.461915212121727,0.984190122114353,0.346948275252731,0.232971825954513,0.285400937879566,0.0713192722718348,0.0410268665794003,0.104045684342385,1.05097377426448,0.0117235315698318,0.0330048024041192,1.61382168208566,0.0173513549021173,5.44446314294704,1.48916639357766,0.622972266597671,0.622972266597671,0.622972266597671,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-3.01954335557537,-2.49114028627921,-3.84175180228372,-2.87543560686777,-1.81213269119058,-1.32270452546737,-0.467591618786401,-2.51824262587251,-0.519472673188463,-0.438784718869313,-0.952120708632694,-1.57566219092178,-0.0610083950870752,0.512961298342579,0.192507895285973,-0.226723511446599,-1.03163740636487,-1.47037659967028,-0.300943690322287,-2.6925836473345,-0.14510662205613,0.923467327110559,0.675337831671967,-0.0481452766431036,0.0161077192316011,0.19593488847141,0.308885303833683,5.28621,0.769633369594607,1466,2819,6126.57508182334,9014.91159182635,14816.3286468167,21546.4871163818,6169.96908566505,6308.0099029548,9065.6750010843,16982.1955467367,12353.4873631085,1765.48075118314,259.075964008148,5.5081337511098,1.1938944073644,0.865427197430153,0.705293154112801,0.263271771241228,-0.468546637814784,-1.08598850113715,-1.91574802980942,-3.28993577838581,-1.24070164298601,-1.43956849539499,-2.53417154112899,-3.65876466022285,0,-5.56813527114351,-4.57454051733511,-0.459095084411014,-0.176885898455541,0.810804149976091,0.173419235193931,-0.368819567257251,0.502685164754482,0.76490131678895,0.669881211958913,5.294
"7",7,0.896852168647454,0.492092090848447,0.983351185946801,0.349910009534357,0.285341284563893,0.343014072250788,0.0767683662198156,0.0398543207761581,0.0980645454902515,1.29777423931913,0.0119689097234244,0.0314670192820045,1.6521775756036,0.0164953463638966,4.61675868485235,1.2284072298338,0.643939656314823,0.643939656314823,0.643939656314823,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-2.90904840347389,-2.51727649216801,-3.81328702783419,-2.66539970395192,-1.7783916206563,-1.3431937965461,-0.495948866287983,-2.66342634621345,-0.479293424684468,-0.464266412917999,-1.01716912125708,-1.56583517156913,-0.0391600808538208,0.2317720491592,-0.20736892954109,-0.432736686707959,-1.01190804067613,-1.51434078267854,-0.272351205642253,-2.58766607404485,0.335911092889495,-0.150015972119096,0.512917583391713,-0.00319613097329864,0.38621011021926,0.434554465936333,0.331613747339771,5.28621,0.772984040223375,1466,2819,6162.06503151465,8943.73898386746,13865.1624756211,21204.2101812728,5046.64973091248,6415.54816161619,8977.30747886344,9525.21533129322,8379.8301572975,1766.13637599359,253.104955397735,5.31376532516077,1.37606026018311,0.142079155118479,0.756054981517315,0.448525654813604,-0.25670756134717,-1.01176758947267,-1.7741233712489,-3.20484358121452,-1.13378839601083,-1.75934531925019,-2.71252401312489,-3.3217691084404,0,-5.5449137633843,-4.42329541630253,-1.216707386849,0.847113881788171,-0.297619117918303,-0.520634619961619,-0.0648646875989388,0.524316655936023,0.442316572739829,0.606200163485854,5.294
"8",8,0.8912332222551,0.502874334636376,0.985849722858539,0.344856473458573,0.254861965923609,0.319875351475633,0.075421534091291,0.0390519324968352,0.107337543399633,0.948069136365876,0.012294120378851,0.0325390271067015,2.07047307022293,0.0168483455162134,4.08198116942543,1.35793149244953,0.674403197481184,0.674403197481184,0.674403197481184,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-2.77818447643016,-2.43804070887821,-3.82988064350157,-2.65250358639633,-1.82767015027779,-1.32374428752796,-0.436612867421876,-2.88055736508682,-0.486845609159679,-0.483319130340254,-0.94956499700158,-1.58053089948828,0.0278759181875581,0.461899205893962,0.0217985555521303,-0.49402961747207,-1.00710440686152,-1.62889672047748,-0.204699280585482,-2.55658732099767,-0.317007186295129,0.609892577847496,0.612643609126059,-0.21451757081027,0.0934000880779694,0.232801688208436,0.359717001611517,5.28621,0.774205010043935,1466,2819,6251.01252387069,9159.77740323574,13838.0914277225,20653.6275227544,5557.1308011718,5248.44060197366,7168.87474271622,12236.4197048875,11284.3779766278,1762.66329657594,267.17475482874,5.11222304716075,1.44764780149383,0.397421912153769,0.435972671935581,0.569727742267368,-0.331103392476123,-0.998051059019848,-1.83881908145533,-3.47296130321704,-1.11346616775809,-1.58948744731646,-2.7315408467923,-3.40062138763782,0,-4.99833687481213,-4.63658331251524,-0.469274636898084,0.698528798215006,0.849597294781559,0.429474664477708,-0.423422133352846,0.364752999399167,0.597379982171223,0.451592820321526,5.294
"9",9,0.895438563662721,0.471867180846403,0.985454344975832,0.347832042435625,0.246158910724138,0.350710227092768,0.0751133811419287,0.0415659480009308,0.102476993818273,1.33602655929381,0.0122055823063113,0.0317420235117034,1.66894068611861,0.0176925878822523,3.80090695695427,1.18934674269596,0.706535747869342,0.706535747869342,0.706535747869342,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-2.71398039144914,-2.59312564724772,-3.69632906647188,-2.77712111463502,-1.94428603292605,-1.27368560627557,-0.461322246590439,-2.56573182658458,-0.441893364552761,-0.578861095703483,-1.00258672998463,-1.73850512061636,0.0730458407244745,0.0809444633701972,-0.169402857177747,-0.43757612661197,-0.972831096272386,-1.59428549236521,-0.115744076629139,-2.65722787184375,-0.110734970831523,0.038356120831116,-0.185169004012949,-0.343185878837105,0.156737841243563,-0.0131517482862497,0.430381460181995,5.28621,0.771041527897894,1466,2819,6146.72223187808,8874.97153724827,13973.3173410199,20563.8271365799,6361.52109142095,6232.94447261951,9312.13264261217,6945.15251012926,17057.4247119314,1735.02420979958,253.717211042878,4.31597804803044,1.29448781741096,0.144185098222112,0.817637705945336,0.577906222075896,-0.409704076137175,-0.819469830936619,-2.04968765392536,-3.2954397857117,-1.28824648551271,-1.6419767764192,-3.00320477820022,-3.49727812887769,0,-5.88273177042406,-4.7405779209082,-0.903635405139804,0.134247042674792,-0.426723688062792,0.0733888659149189,0.350444138875484,0.454065831257464,0.613287746091668,0.627149494434438,5.294
"10",10,0.898254356607953,0.48803330546784,0.98352864065826,0.34472896292897,0.259764374975673,0.355293048177149,0.070469054591701,0.0442126431756052,0.109014417314101,1.18488742688837,0.0108855709505818,0.0301245358067275,2.01240530146932,0.0176308900317719,4.26249600951232,1.48780735033911,0.64064594542736,0.64064594542736,0.64064594542736,1,0.9508566,0.0212126,-0.0002587,-3.32e-05,-2.90112232892069,-2.56195759979426,-3.76626281457528,-2.82563783984091,-1.8509281684251,-1.17581237929506,-0.521366501508281,-2.71484872308448,-0.466624715621626,-0.564883408571748,-1.01557428669195,-1.60486197940531,0.198877745691235,0.168243358086532,-0.0741812095977032,-0.410121909768098,-0.954272631371148,-1.42813695022459,-0.166967242152664,-2.75810171123886,-0.251303006291098,0.25923771115043,-0.095729612168362,-0.210971364568926,0.476599332784604,0.112965720895182,0.238328649440403,5.28621,0.773802296180013,1466,2819,6230.91223700144,8826.68501273531,13849.9923560577,20535.5152587222,5234.756329476,6548.95180270568,11247.8216597229,9021.3484619997,7064.79537174294,1793.98806587781,266.713833433491,5.12953296507581,1.70540008930263,0.13005720525928,0.698603948195214,0.524987808643105,-0.480759325063326,-0.940924531959787,-1.86651581762932,-3.2508613115489,-1.09979587620721,-1.45556777893685,-2.75653957030182,-3.32854017423001,0,-5.27301827069927,-4.34884153034932,-1.15506064441878,-0.214915215444409,0.523621899509425,0.133123262497074,-0.151329917581052,0.531760884106227,0.800579460246121,0.519204417921522,5.294
